i roll pitch yaw
134 -0.13781393 0.0059878924 -0.06025573 
135 -0.13982137 0.005806892 -0.061038963 
136 -0.14086424 0.0057128617 -0.06144586 
137 -0.14193088 0.0056166886 -0.06186202 
138 -0.14354506 0.005471146 -0.062491823 
139 -0.14459828 0.005376183 -0.062902756 
140 -0.14522813 0.0061420044 -0.06308404 
141 -0.14603573 0.0071239434 -0.063316494 
142 -0.14688051 0.008151086 -0.063559644 
143 -0.14794233 0.009442138 -0.063865274 
144 -0.14856185 0.010195393 -0.06404359 
145 -0.14927338 0.011060532 -0.06424839 
146 -0.15189205 0.010689718 -0.0658343 
147 -0.15578136 0.0101389745 -0.068189725 
148 -0.15817042 0.009800674 -0.069636576 
149 -0.16128981 0.009358955 -0.07152573 
150 -0.16358542 0.009033885 -0.07291599 
151 -0.16626719 0.008654135 -0.07454011 
152 -0.16938514 0.009323543 -0.075867295 
153 -0.17310439 0.010122048 -0.07745043 
154 -0.1762282 0.010792712 -0.078780115 
155 -0.1789322 0.011373249 -0.0799311 
156 -0.1817624 0.011980874 -0.0811358 
157 -0.18397723 0.012456387 -0.08207857 
158 -0.18433926 0.01497504 -0.08261191 
159 -0.18463254 0.017015431 -0.08304398 
160 -0.18508461 0.020160615 -0.08370999 
161 -0.18555123 0.0234069 -0.08439742 
162 -0.18595828 0.02623882 -0.0849971 
163 -0.18664199 0.025909409 -0.08710549 
164 -0.18760598 0.025444964 -0.09007817 
165 -0.18846875 0.025029281 -0.09273875 
166 -0.18955192 0.024507413 -0.096078955 
167 -0.19032681 0.02413407 -0.098468535 
168 -0.1902981 0.023144316 -0.1008003 
169 -0.19026221 0.021907669 -0.10371371 
170 -0.1902261 0.020662596 -0.10664698 
171 -0.19018582 0.01927422 -0.10991785 
172 -0.1933346 0.02176798 -0.1116942 
173 -0.19975412 0.026852088 -0.11531571 
174 -0.20438837 0.030522304 -0.117930084 
175 -0.20753406 0.03301362 -0.1197047 
176 -0.2100075 0.028094435 -0.11996777 
177 -0.2118566 0.024416942 -0.12016445 
178 -0.21354812 0.021052847 -0.120344356 
179 -0.21539238 0.017384976 -0.12054051 
180 -0.21767901 0.012837316 -0.12078371 
181 -0.21886273 0.01602674 -0.11771248 
182 -0.22005416 0.01923695 -0.114621244 
183 -0.22058749 0.020673968 -0.113237485 
184 -0.22026311 0.016824853 -0.10907923 
185 -0.22013651 0.01532259 -0.10745631 
186 -0.21997677 0.013427206 -0.1054087 
187 -0.21983129 0.01170098 -0.10354383 
188 -0.2196722 0.009813362 -0.10150461 
189 -0.22247383 0.007373579 -0.0997612 
190 -0.22728479 0.0031839698 -0.096767426 
191 -0.23054719 0.00034292415 -0.09473729 
192 -0.23444225 -0.003049078 -0.09231346 
193 -0.23784715 -0.006014226 -0.09019465 
194 -0.23992 -0.00040482823 -0.088178694 
195 -0.24142596 0.0036704773 -0.086714074 
196 -0.24375649 0.009977171 -0.08444752 
197 -0.24531071 0.014183098 -0.08293596 
198 -0.24684599 0.018337788 -0.08144281 
199 -0.2501404 0.01606249 -0.08033805 
200 -0.25382587 0.013517105 -0.07910215 
201 -0.2564634 0.011695474 -0.07821767 
202 -0.2602655 0.009069533 -0.07694266 
203 -0.26239637 0.009172643 -0.076421015 
204 -0.26678178 0.009384845 -0.07534745 
205 -0.26928 0.009505729 -0.07473589 
206 -0.2719533 0.009635087 -0.07408145 
207 -0.2748574 0.009775612 -0.07337052 
208 -0.27556407 0.009541423 -0.07437769 
209 -0.27636915 0.009274621 -0.07552514 
210 -0.27702162 0.009058395 -0.07645507 
211 -0.27475762 0.0043718615 -0.07332203 
212 -0.27315623 0.001056887 -0.0711059 
213 -0.2711324 -0.0031325018 -0.06830521 
214 -0.2697018 -0.006093874 -0.06632547 
215 -0.27153647 -0.00027666287 -0.06516978 
216 -0.2734499 0.0057903305 -0.063964464 
217 -0.27600068 0.013878274 -0.06235765 
218 -0.27817497 0.020772392 -0.06098801 
219 -0.27847123 0.014715593 -0.058705244 
220 -0.2787108 0.009817572 -0.056859218 
221 -0.27900556 0.0037918193 -0.054588154 
222 -0.27932325 -0.0027026916 -0.05214042 
223 -0.27964842 -0.009350213 -0.049635015 
224 -0.28102103 -0.008752973 -0.048426475 
225 -0.2830826 -0.007855959 -0.046611335 
226 -0.2856696 -0.006730328 -0.044333577 
227 -0.2872714 -0.006033361 -0.042923238 
228 -0.28775963 -0.0027559788 -0.042134907 
229 -0.2887277 0.003742716 -0.040571734 
